Id,Name,Description,Grade,Add,Zipcode,Region,Town,Tel,Fax,Gov,Website,Picture1,Picdescribe1,Picture2,Picdescribe2,Picture3,Picdescribe3,Px,Py,Class,Map,Spec,Serviceinfo,Parkinginfo,TotalNumberofRooms,LowestPrice,CeilingPrice,TaiwanHost,IndustryEmail,TotalNumberofPeople,AccessibilityRooms,PublicToilets,LiftingEquipment,ParkingSpace
C4_A15010000H_000008,思源居民宿,位於南投縣的民宿  位於南投埔里131縣道 3.5公里處的一棟木造建築  周邊樹木林立 如同森林中的小屋,,南投縣埔里鎮水頭里水頭路1號,545,南投縣,埔里鎮,886-49-2927101,,A15010000H,,https://taiwan.taiwanstay.net.tw/twpic/15545.jpg?v=20250702,外觀,,,,,120.970365,23.935199,4,,,"無線網路,,,,,自行車友善旅宿",車位:小客車0輛、機車0輛、大客車0輛,3,2200,3600,0,sss050021@yahoo.com.tw,10,0,,,0
C4_A15010000H_000015,凱旋新宿商旅,位於臺東市中心的商旅，鄰近鐵花村與台東市中心商圈，備有平面停車場（步行約3分鐘)，是來台東遊玩及出差的好選擇,,臺東縣臺東市復興里福建路243號1-5樓,950,臺東縣,臺東市,886-89-311777,886-89-311277,A15010000H,,https://taiwan.taiwanstay.net.tw/twpic/9215.jpg?v=20250702,大廳或櫃檯,https://taiwan.taiwanstay.net.tw/twpic/15213.jpg?v=20250702,房間1,https://taiwan.taiwanstay.net.tw/twpic/23377.jpg?v=20250702,房間3,121.151586,22.751471,3,,,"餐廳,無線網路,國民旅遊卡,停車場,,,,郵電服務,商務旅遊中心,自行車租借,AED,,,自行車友善旅宿",車位:小客車0輛、機車0輛、大客車0輛,40,4500,8000,0,,104,0,,,0
C4_A15010000H_000018,觀關嚮戶民宿,位於臺東縣的民宿,,臺東縣關山鎮豐泉里3鄰八德路28號,956,臺東縣,關山鎮,886-988-627798,,A15010000H,,https://taiwan.taiwanstay.net.tw/twpic/286380.jpeg?v=20250702,公共空間及房間,https://taiwan.taiwanstay.net.tw/twpic/286382.jpeg?v=20250702,公共空間及房間,https://taiwan.taiwanstay.net.tw/twpic/286381.jpeg?v=20250702,公共空間及房間,121.161980,23.052470,4,,,"無線網路,,,,自行車租借,,,自行車友善旅宿",車位:小客車0輛、機車0輛、大客車0輛,4,4000,6000,0,hylovefamily@gmail.com,12,0,0,0,0
C4_A15010000H_000019,克卜勒民宿,整棟灰白、混凝土粉光的簡樸設計兩層樓建築客房內也是乾淨俐落的灰白牆面房內IKEA 家具的簡樸素雅風格加上落地窗外中央山脈的四季美景就是美麗的一幅畫希望能將這自然簡單的美好生活讓來到克卜勒民宿的旅人感到自在輕鬆、並悠遊其中,,臺東縣鹿野鄉龍田村3鄰龍三路112巷20號,955,臺東縣,鹿野鄉,886-89-551891,,A15010000H,https://www.facebook.com/Kepler2016/?ref=aymt_homepage_panel&amp;eid=ARDh6FM8mESba_ulOBGJxMwpHyQl3LWJAD8ca6cTVYDrYD017IVsuyEwtO65TobGzOyc_NqhKSqNf8mS,https://taiwan.taiwanstay.net.tw/twpic/78797.jpg?v=20250702,克卜勒民宿外觀及主人,https://taiwan.taiwanstay.net.tw/twpic/91287.jpg?v=20250702,克卜勒民宿外觀,https://taiwan.taiwanstay.net.tw/twpic/91295.jpg?v=20250702,克卜勒民宿早餐聽,121.127894,22.904173,4,,,"無線網路,,,,接送服務,,",車位:小客車0輛、機車0輛、大客車0輛,3,4500,5200,0,jackoo716@yahoo.com.tw,11,0,0,0,0
C4_A15010000H_000020,柴柴屋,"宜蘭五結柴柴屋民宿, 位於羅東交流道下五分鐘處 我們來自北部，生活庸碌的感受 嚮往自然的主人_柯柯 & 峮峮 一直以來就想來宜蘭定居 。在2014年起~鼓起勇氣與想要重新生活在新的地方-宜蘭，勇敢地踏上追夢的路上, 邀請你們一同生活玩樂在宜蘭 2015年2月新建的B&B 以簡約清新的方式讓您感受宜蘭氛圍。歡迎預約住宿，專線0922712730 (李小姐)",,宜蘭縣五結鄉五結中路二段559巷5號,268,宜蘭縣,五結鄉,886-3-9507195,,A15010000H,http://www.shibabnb.tw,https://taiwan.taiwanstay.net.tw/twpic/32539.jpg?v=20250702,#201 赤柴雙人套房 可加人,https://taiwan.taiwanstay.net.tw/twpic/49546.jpg?v=20250702,#202 白柴雙人房 加人(2),,,121.797620,24.685754,4,,套房3000;套房3000;,"無線網路,停車場,,,,寵物友善旅宿,,,自行車友善旅宿",車位:小客車1輛、機車1輛、大客車0輛,3,3000,3600,0,jeanlee0905@gmail.com,13,0,0,0,2
C4_A15010000H_000021,蒂爾堡會館,位於南投縣的民宿,,南投縣埔里鎮枇杷里38鄰青田一街55號,545,南投縣,埔里鎮,886-939-136008,,A15010000H,,,,,,,,120.975809,23.962861,4,,,,車位:小客車0輛、機車0輛、大客車0輛,5,4800,6800,0,,12,0,0,0,0
C4_A15010000H_000022,你來花蓮民宿,位於花蓮縣的民宿,,花蓮縣花蓮市民樂里民樂三街14號,970,花蓮縣,花蓮市,886-933-799499,,A15010000H,,https://taiwan.taiwanstay.net.tw/twpic/281984.jpeg?v=20250702,民宿照片,https://taiwan.taiwanstay.net.tw/twpic/281983.jpeg?v=20250702,民宿照片,https://taiwan.taiwanstay.net.tw/twpic/281986.jpeg?v=20250702,民宿照片,121.629948,23.990617,4,,,,車位:小客車0輛、機車0輛、大客車0輛,3,4800,4800,0,changcheng0914@gmail.com,12,0,0,0,0
C4_A15010000H_000023,河岸咖啡民宿,位於雲林縣的民宿,,雲林縣古坑鄉華山村華山86-12號,646,雲林縣,古坑鄉,886-5-5900212,,A15010000H,,,,,,,,120.585905,23.597586,4,,,,車位:小客車0輛、機車0輛、大客車0輛,5,2200,2400,0,,14,0,,,0
C4_A15010000H_000026,初鹿生態農莊民宿,位於臺東縣初鹿村的民宿，設有烤肉設備，距離 臺東是15 公里，距離卑南遺址 10 公里。住宿全館提供 WiFi（免費）和館內提供私人停車位。所有房型均有私人衛浴、空調、平面電視和烤箱。住宿也提供烤吐司機和咖啡機。初鹿生態農莊民宿 距離 臺東車站 12 公里，距離康樂火車站 12 公里。最近的機場是台東機場，距離這間住宿 13 公里。,,臺東縣卑南鄉初鹿村17鄰初鹿二街103巷12弄6號,954,臺東縣,卑南鄉,886-89-571547,,A15010000H,,https://taiwan.taiwanstay.net.tw/twpic/288865.jpg?v=20250702,大廳及客房,https://taiwan.taiwanstay.net.tw/twpic/288864.jpg?v=20250702,大廳及客房,https://taiwan.taiwanstay.net.tw/twpic/288863.jpg?v=20250702,大廳及客房,121.088294,22.858370,4,,,"餐廳,咖啡廳,無線網路,國民旅遊卡,停車場,無障礙客房,自助洗衣(免費),,,,",車位:小客車0輛、機車0輛、大客車0輛,3,6000,6000,0,z324693@gmail.com,13,0,0,0,0
C4_A15010000H_000028,凱莎琳庭園大飯店,位於高雄市的旅館,,高雄市前金區文武三街145號,801,高雄市,前金區,886-7-2152158,886-7-2512326,A15010000H,,https://taiwan.taiwanstay.net.tw/twpic/12603.jpg?v=20250702,房間1,https://taiwan.taiwanstay.net.tw/twpic/14921.jpg?v=20250702,房間3,https://taiwan.taiwanstay.net.tw/twpic/41144.jpg?v=20250702,大廳或櫃檯,120.298378,22.620562,3,,,,車位:小客車0輛、機車0輛、大客車0輛,48,2700,4100,0,kp_hotel@yahoo.com.tw,128,0,,,0
C4_A15010000H_000032,南國海岸渡假特色民宿,位於屏東縣的民宿,,屏東縣琉球鄉肚仔坪路8號,929,屏東縣,琉球鄉,886-8-8613830,,A15010000H,,https://taiwan.taiwanstay.net.tw/twpic/45462.jpg?v=20250702,南國海岸民宿外觀,https://taiwan.taiwanstay.net.tw/twpic/38873.jpg?v=20250702,南國海岸民宿外觀,https://taiwan.taiwanstay.net.tw/twpic/7973.jpg?v=20250702,南國海岸民宿外觀,120.363861,22.342554,4,,,"無線網路,國民旅遊卡,,,,導覽解說,,",車位:小客車0輛、機車0輛、大客車0輛,8,5600,10400,0,ert8281112@gmail.com,30,0,,,0
